Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,ETFdb Pro Tools,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VTV,Vanguard Value ETF,Equity,"$50,578,353,646.00",-7.29%,"1,975,783",$108.51,0.18%,No,No,3.66%,3.08%,2.28%,16.51%,53.52%,"$2,195,024,893.40","$201,648,790.72","$780,644,204.25","$4,339,518,361.56","$16,290,714,136.17","$26,371,120,177.23",Large Cap Blend Equities,2004-01-30,0.04%,2 Platforms,$3.16,2020-09-25,$0.72,2.92%,16.40,0.97,327,22.67%,35%,15%,1099,$101.37,$108.96,$108.10,$109.02,59.68,A,A,A,A-,B+,B+,A-,6.0,28.37%,50.39%,292.28,13.37%,5.93%
VIG,Vanguard Dividend Appreciation ETF,Equity,"$47,256,171,863.00",8.54%,"1,123,992",$133.37,0.89%,No,No,3.75%,4.61%,15.38%,47.69%,90.93%,"$4,159,532,049.31","$285,033,594.03","$711,814,463.28","$5,993,128,814.40","$12,212,860,768.22","$13,728,653,934.00",Large Cap Growth Equities,2006-04-27,0.06%,3 Platforms,$2.23,2020-09-29,$0.56,1.69%,25.00,0.84,212,35.30%,35%,15%,1099,$124.45,$132.87,$132.83,$133.82,62.44,A,A,A,B,B+,B+,B,6.57,71.58%,69.66%,200.66,7.24%,5.62%
IJH,iShares Core S&P Mid-Cap ETF,Equity,"$43,167,549,360.00",-1.93%,"1,049,455",$199.01,0.30%,No,No,4.99%,7.75%,7.78%,15.24%,50.18%,"-$4,399,641,573.00","$8,583,255.00","-$131,990,737.50","-$3,568,499,458.50","$2,203,350,720.00","$9,316,085,070.00",Small Cap Growth Equities,2000-05-22,0.06%,2 Platforms,$3.19,2020-09-23,$0.83,1.61%,19.33,1.19,401,7.28%,35%,15%,1099,$175.80,$199.40,$198.09,$200.20,63.76,A-,A,A,B-,B,B-,B+,4.55,56.31%,25.47%,156.19,4.13%,7.08%
IJR,iShares Core S&P Small-Cap ETF,Equity,"$41,274,832,860.00",-8.14%,"3,869,032",$76.08,0.53%,No,No,5.78%,7.63%,2.57%,5.93%,45.02%,"$504,107,858.50","-$81,104,526.00","$7,679,232.00","$1,922,312,353.00","$10,859,710,580.50","$47,582,908,829.00",Small Cap Blend Equities,2000-05-22,0.07%,2 Platforms,$1.19,2020-09-23,$0.29,1.57%,16.69,1.23,602,6.39%,35%,15%,1099,$66.73,$76.09,$75.62,$76.58,62.70,A-,A,A-,B+,B+,B+,B+,3.68,14.97%,11.13%,100.12,3.27%,5.72%
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Bond,"$38,708,676,504.00",7.25%,"2,865,980",$95.94,0.10%,No,No,0.09%,0.01%,8.06%,20.37%,31.97%,"$11,068,732,393.72","-$210,402,226.83","-$276,479,127.52","$11,746,792,321.73","$18,235,393,185.52","$29,832,382,835.55",Corporate Bonds,2009-11-23,0.05%,2 Platforms,$2.43,2020-10-01,$0.20,2.54%,0.00,0.18,96,16.47%,35%,15%,1099,$95.35,$96.32,$95.83,$96.01,53.54,A+,A,B+,A,B+,A-,A,5.26,48.29%,34.56%,240.54,9.69%,3.48%
IWM,iShares Russell 2000 ETF,Equity,"$38,638,227,660.00",-0.70%,"22,853,976",$162.70,0.52%,No,No,6.44%,9.50%,11.77%,12.86%,50.97%,"-$4,961,521,175.00","$1,257,145,775.00","-$1,604,803,085.00","-$4,278,478,077.00","-$1,947,597,864.00","$3,785,502,354.00",Small Cap Growth Equities,2000-05-22,0.19%,N/A,$2.05,2020-09-23,$0.57,1.27%,16.17,1.24,2019,3.74%,35%,15%,1099,$142.00,$162.53,$161.77,$163.67,64.64,B+,A+,A-,C,C+,B,A,3.54,8.27%,10.08%,135.54,3.32%,6.17%
VGT,Vanguard Information Technology ETF,Equity,"$36,268,398,055.00",33.22%,"821,373",$323.37,1.69%,No,No,4.97%,7.99%,51.88%,116.69%,227.83%,"$3,755,616,966.99","-$43,780,296.78","-$168,702,399.05","$5,005,714,526.27","$5,231,501,562.81","$8,459,718,042.53",Technology Equities,2004-01-30,0.10%,Vanguard,$2.87,2020-09-11,$0.71,0.90%,30.20,1.09,327,60.44%,35%,15%,1099,$293.24,$322.15,$320.88,$324.62,58.86,A+,A,A,B-,A,A-,A+,7.06,79.49%,81.99%,20.18,0.57%,6.10%
IWD,iShares Russell 1000 Value ETF,Equity,"$35,929,020,630.00",-7.78%,"2,136,582",$123.28,0.17%,No,No,3.81%,3.70%,1.01%,10.96%,41.24%,"-$1,073,070,229.50","-$99,520,872.00","$513,439,978.00","-$359,501,131.50","-$1,400,424,663.00","$5,199,255,702.50",Large Cap Blend Equities,2000-05-22,0.19%,TD Ameritrade,$3.36,2020-09-23,$0.72,2.73%,15.88,1.02,844,17.07%,35%,15%,1099,$114.45,$123.72,$122.82,$123.85,60.06,A,A,A-,B,B+,B,A,5.82,22.83%,45.16%,275.68,11.69%,5.28%
VO,Vanguard Mid-Cap Index ETF,Equity,"$34,204,985,495.00",5.51%,"631,859",$185.57,0.42%,No,No,4.18%,7.28%,14.92%,31.22%,64.06%,"$5,150,845,039.83","-$11,001,418.50","$93,219,340.19","$5,259,955,317.34","$8,906,776,404.66","$13,528,006,028.28",Mid Cap Growth Equities,2004-01-30,0.04%,2 Platforms,$3.05,2020-09-25,$0.66,1.65%,21.00,1.13,342,7.55%,35%,15%,1099,$168.16,$185.20,$184.99,$186.28,63.46,A,A,A,A-,A-,A,B-,5.27,85.67%,34.60%,267.47,4.14%,7.73%
USMV,iShares Edge MSCI Min Vol USA ETF,Equity,"$33,804,662,388.00",1.81%,"3,803,994",$65.72,0.64%,No,No,3.09%,3.82%,5.47%,37.51%,77.75%,"-$1,634,804,238.00","-$56,424,905.00","-$2,380,393.00","-$383,290,382.00","$15,603,025,927.00","$20,750,585,443.00",Large Cap Growth Equities,2011-10-18,0.15%,Fidelity,$1.31,2020-09-23,$0.31,2.01%,23.00,0.73,195,15.41%,35%,15%,1099,$62.00,$65.65,$65.45,$65.95,59.97,A,A,A,A+,A,B+,B,6.36,45.60%,62.85%,356.94,9.06%,10.39%
XLK,Technology Select Sector SPDR Fund,Equity,"$33,742,935,796.00",32.44%,"11,228,431",$120.18,1.53%,No,No,4.56%,6.62%,51.38%,108.93%,214.03%,"$277,723,589.00","-$253,397,875.00","-$1,447,047,324.00","$682,864,796.50","-$253,744,187.50","$609,513,705.46",Technology Equities,1998-12-16,0.13%,N/A,$1.19,2020-09-21,$0.25,1.01%,28.58,1.03,73,69.88%,35%,15%,1099,$110.27,$120.00,$119.32,$120.63,57.46,A,A+,A,C+,A+,A-,B+,7.58,92.07%,90.15%,19.04,0.24%,6.53%
VCSH,Vanguard Short-Term Corporate Bond ETF,Bond,"$32,648,403,311.00",4.14%,"2,369,777",$82.87,0.05%,No,No,0.10%,0.06%,4.56%,11.91%,16.90%,"$6,047,236,909.71","$223,533,817.52","$879,576,789.07","$6,761,881,582.91","$10,318,181,539.43","$20,941,227,872.49",Corporate Bonds,2009-11-23,0.05%,2 Platforms,$1.87,2020-10-01,$0.14,2.26%,0.00,0.09,102,15.25%,35%,15%,1099,$82.62,$82.91,$82.84,$82.89,61.68,A,A,A-,A-,A,B-,A,5.36,25.93%,36.06%,192.11,7.84%,3.23%
IVW,iShares S&P 500 Growth ETF,Equity,"$29,798,276,690.00",24.26%,"538,567",$238.72,1.33%,No,No,4.02%,4.80%,36.28%,71.47%,127.97%,"-$251,496,307.50","-$23,045,560.00","-$382,452,663.00","-$588,243,937.00","-$1,196,634,654.50","$1,687,650,667.00",Large Cap Growth Equities,2000-05-22,0.18%,Fidelity,$3.21,2020-09-23,$0.55,1.36%,31.82,0.99,282,43.95%,35%,15%,1099,$221.18,$238.35,$237.27,$239.49,57.92,A,A,A-,A,A-,A,A-,7.05,87.42%,81.80%,72.38,11.38%,6.27%
VB,Vanguard Small Cap ETF,Equity,"$28,203,319,468.00",1.04%,"657,294",$165.78,0.47%,No,No,5.74%,9.51%,11.73%,21.13%,56.39%,"$3,001,034,425.17","-$45,023,369.04","$188,735,091.23","$3,496,378,908.82","$6,959,964,205.40","$12,047,630,541.91",Small Cap Growth Equities,2004-01-30,0.05%,2 Platforms,$2.22,2020-09-25,$0.54,1.35%,18.40,1.23,1387,3.87%,35%,15%,1099,$146.17,$165.20,$165.06,$166.49,65.51,A,A,A,A-,A,A+,A-,4.27,41.55%,17.05%,127.22,4.46%,6.26%
VNQ,Vanguard Real Estate Index Fund,Real Estate,"$27,582,231,124.00",-8.23%,"4,223,962",$83.02,-0.40%,No,No,1.33%,4.25%,-7.53%,12.45%,29.37%,"-$3,617,344,997.82","-$237,284,320.52","-$363,798,421.44","-$3,133,244,798.39","-$3,831,047,135.54","$3,420,003,554.62",Real Estate,2004-09-23,0.12%,2 Platforms,$2.95,2020-09-25,$0.59,3.54%,28.50,0.79,179,44.22%,35%,15%,1099,$75.70,$84.73,$82.54,$83.69,57.24,A+,A,A,A-,B+,A-,A,4.37,68.10%,18.87%,140.79,0.70%,12.73%
BSV,Vanguard Short-Term Bond ETF,Bond,"$27,225,040,903.00",4.31%,"1,712,418",$82.90,0.04%,No,No,-0.02%,-0.06%,4.50%,10.62%,13.00%,"$3,967,429,000.00","$141,049,000.00","$572,621,000.00","$4,837,516,000.00","$3,485,692,000.00","$9,463,879,273.03",Total Bond Market,2007-04-10,0.07%,3 Platforms,$1.62,2020-10-01,$0.11,1.96%,0.00,-0.02,72,68.61%,35%,15%,1099,$82.85,$82.98,N/A,N/A,51.42,A,A,A,A-,A,C+,A,6.27,85.07%,59.89%,165.18,2.16%,0.90%
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Equity,"$26,886,031,648.00",9.64%,"1,444,808",$78.63,0.86%,No,No,4.13%,5.26%,21.17%,42.82%,88.67%,"$1,160,343,180.50",$0.00,"-$135,006,787.50","$1,594,940,885.50","$10,928,339,350.00","$18,094,454,948.50",Large Cap Growth Equities,2004-01-20,0.03%,Fidelity,$1.32,2020-09-23,$0.33,1.70%,22.13,1.03,3559,23.11%,35%,15%,1099,$72.47,$78.43,$78.31,$78.84,60.18,A,A-,A,A-,A-,A,A,6.2,37.02%,57.18%,148.29,10.36%,6.66%
VYM,Vanguard High Dividend Yield ETF,Equity,"$26,210,954,745.00",-7.88%,"1,630,579",$84.09,0.06%,No,No,3.81%,3.18%,0.12%,13.22%,49.15%,"$777,415,334.61","$28,679,961.21","$277,202,957.36","$3,349,783,067.42","$7,965,705,882.22","$13,341,214,780.14",Large Cap Blend Equities,2006-11-16,0.06%,2 Platforms,$2.88,2020-09-21,$0.70,3.42%,16.00,0.91,414,25.43%,35%,15%,1099,$78.57,$84.35,$83.80,$84.51,59.21,A+,A,A,B+,A,A-,A-,5.85,34.39%,46.02%,365.15,10.56%,6.64%
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,Bond,"$25,628,255,297.00",0.40%,"23,858,768",$84.95,0.22%,No,No,1.34%,1.02%,3.38%,12.18%,29.73%,"$6,397,517,080.00","-$900,490,779.00","-$5,175,888,465.00","$7,030,648,075.00","$6,206,762,418.00","$11,840,900,378.00",High Yield Bonds,2007-04-11,0.49%,Fidelity,$4.22,2020-10-01,$0.36,5.00%,0.00,0.41,1244,4.06%,35%,15%,1099,$82.46,$85.13,$84.80,$85.07,60.72,A,A,B-,B+,B,A,A,2.99,23.68%,6.27%,275.87,6.72%,2.40%
TIP,iShares TIPS Bond ETF,Bond,"$24,123,853,025.00",9.21%,"2,171,014",$126.25,0.03%,No,No,0.13%,0.13%,9.95%,18.27%,22.01%,"$672,796,196.00","$37,844,607.00","$215,257,883.00","$975,741,914.00","-$2,213,682,524.00","$7,315,443,542.00",Inflation-Protected Bonds,2003-12-04,0.19%,2 Platforms,$1.25,2020-10-01,$0.42,0.99%,0.00,0.07,45,51.46%,35%,15%,1099,$125.64,$126.39,$126.08,$126.35,57.16,A,A+,A-,B-,B,A-,A-,6.58,93.33%,70.36%,0.0,0.00%,0.00%
XLV,Health Care Select Sector SPDR Fund,Equity,"$23,287,507,114.00",7.77%,"7,290,438",$108.36,0.90%,No,No,4.03%,4.01%,24.68%,38.50%,73.86%,"$2,916,356,925.50","-$191,727,734.00","-$542,564,404.00","$4,006,062,179.00","$1,269,950,857.00","$3,442,514,944.84",Health & Biotech Equities,1998-12-16,0.13%,N/A,$2.56,2020-09-21,$0.42,2.38%,18.10,0.84,64,51.66%,35%,15%,1099,$101.34,$108.27,$107.82,$108.79,58.79,A,A+,A,B+,B+,A-,B+,6.66,64.58%,72.72%,18.88,0.00%,12.91%
IWB,iShares Russell 1000 ETF,Equity,"$23,114,745,640.00",10.36%,"605,044",$194.32,0.90%,No,No,3.95%,5.03%,21.76%,44.82%,89.89%,"-$132,404,162.50","-$116,979,621.00","-$479,377,505.00","$49,751,199.00","$458,134,332.00","$4,355,600,105.50",Large Cap Growth Equities,2000-05-15,0.15%,TD Ameritrade,$2.94,2020-09-23,$0.76,1.53%,22.36,1.02,1016,24.69%,35%,15%,1099,$179.79,$193.97,$193.56,$194.88,59.81,A,A,A-,B,B,B+,A,6.35,45.42%,62.73%,149.4,10.79%,6.68%
DIA,SPDR Dow Jones Industrial Average ETF,Equity,"$22,816,486,015.00",2.01%,"3,217,321",$285.93,0.58%,No,No,3.30%,3.44%,10.35%,34.19%,88.00%,"$1,887,310,703.00","$188,920,936.00","$192,597,280.00","$1,864,812,353.50","$644,534,558.50","$3,938,020,878.59",Large Cap Growth Equities,1998-01-14,0.16%,N/A,$5.92,2020-09-18,$0.67,2.08%,22.13,0.98,31,53.27%,35%,15%,1099,$267.37,$286.79,$284.62,$287.02,59.16,A-,A+,A-,A,B-,B+,C,6.28,41.26%,60.21%,41.56,5.56%,3.13%
MBB,iShares MBS Bond ETF,Bond,"$22,379,130,757.00",3.77%,"1,419,033",$110.20,-0.03%,No,No,-0.05%,-0.07%,4.28%,11.31%,12.68%,"$221,828,096.00",$0.00,"$43,885,846.00","$2,566,030,164.00","$10,059,365,304.00","$13,712,205,722.00",Mortgage Backed Securities,2007-03-16,0.06%,2 Platforms,$2.49,2020-10-01,$0.19,2.26%,0.00,-0.03,9261,18.02%,35%,15%,1099,$110.06,$110.31,$110.16,$110.25,49.76,A,A+,B,B+,A-,B+,A,N/A,N/A,N/A,N/A,N/A,N/A
SCHX,Schwab U.S. Large-Cap ETF,Equity,"$22,142,316,951.00",10.65%,"1,069,285",$83.65,0.88%,No,No,3.90%,4.83%,22.03%,46.08%,92.40%,"$1,528,607,907.50","$69,990,566.00","$66,680,179.50","$1,518,047,832.00","$7,421,934,036.00","$11,487,979,078.50",Large Cap Growth Equities,2009-11-03,0.03%,Charles Schwab,$1.59,2020-09-23,$0.48,1.92%,23.30,1.01,761,25.42%,35%,15%,1099,$77.47,$83.52,$83.33,$83.89,59.67,A+,A,A+,B,B+,A-,A,6.45,50.43%,65.55%,150.59,10.99%,6.71%
SHY,iShares 1-3 Year Treasury Bond ETF,Bond,"$21,505,660,755.00",2.95%,"2,760,644",$86.42,0.00%,No,No,-0.05%,-0.04%,3.19%,7.69%,8.24%,"$6,225,636,033.00","$121,086,404.00","$423,743,406.00","$6,216,177,975.00","$12,578,840,410.00","$10,491,494,185.00",Government Bonds,2002-07-22,0.15%,2 Platforms,$1.12,2020-10-01,$0.04,1.29%,0.00,-0.04,81,48.25%,35%,15%,1099,$86.42,$86.48,N/A,N/A,45.44,A,A,B,A,A+,C,B+,6.58,90.24%,70.36%,0.0,0.00%,0.00%
IWR,iShares Russell Midcap ETF,Equity,"$20,643,204,690.00",3.47%,"1,386,773",$60.87,0.43%,No,No,4.70%,7.55%,12.98%,27.77%,61.52%,"$101,663,093.00","$787,164.00","-$2,013,848.50","$411,980,877.50","$2,443,503,951.50","$2,988,274,615.00",All Cap Equities,2001-07-17,0.19%,N/A,$0.91,2020-09-23,$0.22,1.50%,18.74,1.14,822,4.49%,35%,15%,1099,$54.82,$60.73,$60.67,$61.15,64.46,A-,A,A-,B+,B+,B,A,5.13,81.33%,32.75%,238.62,5.00%,6.48%
SHV,iShares Short Treasury Bond ETF,Bond,"$20,348,075,996.00",0.80%,"2,099,000",$110.69,0.00%,No,No,0.00%,0.00%,1.16%,5.16%,5.86%,"$1,569,297,103.00","-$365,320,346.00","$553,470,843.00","$1,303,246,426.00","$16,730,177,614.00","$18,659,874,372.00",Government Bonds,2007-01-11,0.15%,N/A,$1.18,2020-10-01,$0.01,1.06%,0.00,-0.01,63,55.76%,35%,15%,1099,$110.62,$110.76,N/A,N/A,48.94,A-,A,A,B+,A+,B-,B-,6.58,90.24%,70.36%,0.0,0.00%,0.00%
IGSB,iShares Short-Term Corporate Bond ETF,Bond,"$20,238,255,805.00",4.31%,"2,232,039",$54.92,0.05%,No,No,0.09%,0.09%,5.04%,12.82%,15.27%,"$6,569,302,843.50","-$22,020,967.50","$255,540,764.00","$6,859,107,113.50","$8,967,351,493.50","$8,967,351,493.50",Corporate Bonds,2007-01-11,0.06%,N/A,$1.40,2020-10-01,$0.10,2.56%,0.00,0.08,3006,3.67%,N/A,N/A,N/A,$54.74,$54.95,$54.90,$54.93,60.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.38,41.79%,36.47%,245.93,8.44%,2.76%
IEF,iShares 7-10 Year Treasury Bond ETF,Bond,"$20,097,550,495.00",10.76%,"4,085,692",$121.01,-0.05%,No,No,-0.55%,-0.76%,8.83%,20.77%,22.61%,"-$90,502,613.00","-$146,407,580.00","$694,024,553.00","-$923,102,568.00","$9,176,735,821.00","$8,159,880,254.00",Government Bonds,2002-07-26,0.15%,Fidelity,$1.55,2020-10-01,$0.08,1.28%,0.00,-0.15,14,99.60%,35%,15%,1099,$120.90,$122.37,$120.82,$121.17,42.04,A-,A,B+,B,B+,B+,B-,6.58,92.62%,70.36%,0.0,0.00%,0.00%
QUAL,iShares Edge MSCI USA Quality Factor ETF,Equity,"$19,190,837,520.00",7.96%,"905,938",$107.59,0.97%,No,No,3.97%,4.89%,19.99%,45.07%,87.00%,"$2,249,261,992.50","$25,077,175.00","$70,086,024.50","$5,541,185,802.50","$12,046,794,206.00","$14,002,363,701.50",Large Cap Growth Equities,2013-07-16,0.15%,N/A,$1.65,2020-09-23,$0.44,1.55%,22.91,0.97,126,34.51%,35%,15%,1099,$99.72,$107.29,$107.11,$107.91,60.32,A,A,A-,A,A-,B+,B,6.69,71.05%,73.67%,130.58,0.20%,3.56%
VV,Vanguard Large Cap ETF,Equity,"$18,811,913,356.00",11.17%,"280,491",$162.06,0.92%,No,No,3.84%,4.78%,22.69%,46.88%,93.44%,"$1,551,209,154.58","$6,351,138.02","-$49,103,554.32","$1,735,190,485.32","$4,157,186,044.65","$6,335,671,598.39",Large Cap Growth Equities,2004-01-27,0.04%,Vanguard,$2.65,2020-09-25,$0.62,1.65%,23.30,1.01,551,26.49%,35%,15%,1099,$150.36,$161.78,$161.39,$162.49,59.53,A,A,A,B+,B,B+,A,6.5,54.25%,67.18%,153.26,11.38%,6.74%
TLT,iShares 20+ Year Treasury Bond ETF,Bond,"$18,692,439,330.00",19.54%,"9,660,239",$160.09,-0.02%,No,No,-1.63%,-2.57%,14.47%,38.64%,46.41%,"-$2,659,034,838.00","$378,463,290.00","$632,239,258.00","-$2,808,536,794.00","$4,435,106,866.00","$7,125,792,467.00",Government Bonds,2002-07-26,0.15%,2 Platforms,$2.57,2020-10-01,$0.17,1.61%,0.00,-0.27,48,58.77%,35%,15%,1099,$159.24,$166.73,$159.18,$160.64,40.01,B-,A+,B-,C,C+,A,C+,6.58,92.62%,70.36%,0.0,0.00%,0.00%
MUB,iShares National AMT-Free Muni Bond ETF,Bond,"$17,878,253,206.00",2.87%,"1,076,138",$115.26,0.05%,No,No,-0.37%,-0.41%,3.04%,11.81%,17.14%,"$2,267,496,823.00","-$127,398,442.00","-$34,966,249.00","$3,438,185,260.00","$8,369,357,951.00","$11,912,643,574.00",National Munis,2007-09-07,0.07%,2 Platforms,$2.56,2020-10-01,$0.21,2.23%,0.00,0.01,4403,3.08%,35%,15%,1099,$115.25,$116.00,$115.18,$115.32,40.93,A+,A,B,B+,A,B+,A+,N/A,N/A,N/A,N/A,N/A,N/A
